,n_com,I,C,M,R,L
29,115.0,29.0,0.14706,0.06815,0.17213,0.02617
30,115.0,30.0,0.22914,0.03461,0.80693,0.03038
1,116.0,1.0,0.04108,0.00412,0.61922,0.01091
2,116.0,2.0,0.04023,0.00363,0.51416,0.13021
3,116.0,3.0,0.02499,0.0213,0.69359,0.04848
4,116.0,4.0,0.0328,0.03046,0.8479,0.06923
5,116.0,5.0,0.11154,0.01539,0.07345,0.22008
6,116.0,6.0,0.07655,0.02223,0.4751,0.05392
7,116.0,7.0,0.06217,0.03722,0.46312,0.32223
8,116.0,8.0,0.09059,0.04582,0.66749,0.00619
9,116.0,9.0,0.07397,0.02427,0.93928,0.03641
10,116.0,10.0,0.12061,0.01838,0.48716,0.02533
11,116.0,11.0,0.09684,0.02958,0.3236,0.01193
12,116.0,12.0,0.03494,0.01433,0.60537,0.05484
13,116.0,13.0,0.02734,0.01519,0.64886,0.04027
14,116.0,14.0,0.04451,0.02892,0.27994,0.0022
15,116.0,15.0,0.07272,0.007,0.69471,0.0026
16,116.0,16.0,0.04077,0.03052,0.29376,0.00583
17,116.0,17.0,0.10316,0.04222,0.06017,0.00756
18,116.0,18.0,0.06815,0.01759,0.62696,0.07377
19,116.0,19.0,0.15217,0.02907,0.01486,0.00303
20,116.0,20.0,0.15685,0.02143,0.12373,0.05451
21,116.0,21.0,0.12346,0.02519,0.44704,0.05334
22,116.0,22.0,0.12838,0.05827,0.5966,0.21505
23,116.0,23.0,0.15963,0.03957,0.53513,0.00307
24,116.0,24.0,0.1302,0.028,0.08005,0.02134
25,116.0,25.0,0.11253,0.06068,0.29679,0.04787
26,116.0,26.0,0.10228,0.04016,0.58852,0.00291
27,116.0,27.0,0.09466,0.05627,0.72254,0.01146
28,116.0,28.0,0.13827,0.0651,0.61014,0.00563
29,116.0,29.0,0.15833,0.08078,0.63389,0.00775
30,116.0,30.0,0.13514,0.06268,0.61748,0.07373
1,117.0,1.0,0.02011,0.00325,0.9967,0.0042
2,117.0,2.0,0.04816,0.0069,0.1151,0.0289
3,117.0,3.0,0.02602,0.02125,0.43893,0.13631
4,117.0,4.0,0.04565,0.001,0.71364,0.20003
5,117.0,5.0,0.04728,0.01773,0.44771,0.01622
6,117.0,6.0,0.02963,0.00593,0.42271,0.04291
7,117.0,7.0,0.10149,0.03866,0.03329,0.015
8,117.0,8.0,0.10055,0.02958,0.92662,0.27796
9,117.0,9.0,0.0511,0.03901,0.48106,0.00413
10,117.0,10.0,0.07651,0.0516,0.6431,0.00837
11,117.0,11.0,0.15158,0.01109,0.20588,0.0033
12,117.0,12.0,0.0598,0.04085,0.21742,0.00464
13,117.0,13.0,0.0935,0.02492,0.115,0.00336
14,117.0,14.0,0.1246,0.01305,0.12065,0.34344
15,117.0,15.0,0.06547,0.0277,0.65644,0.00649
16,117.0,16.0,0.12156,0.03978,0.05701,0.00959
17,117.0,17.0,0.10761,0.03809,0.28905,0.02941
18,117.0,18.0,0.09211,0.00799,0.20491,0.05685
19,117.0,19.0,0.11944,0.01923,0.45296,0.0063
20,117.0,20.0,0.1128,0.06149,0.59387,0.00275
21,117.0,21.0,0.12692,0.05394,0.844,0.02539
22,117.0,22.0,0.12615,0.03798,0.66404,0.00562
23,117.0,23.0,0.1406,0.05853,0.84035,0.01505
24,117.0,24.0,0.1556,0.04227,0.89111,0.00255
25,117.0,25.0,0.1064,0.02933,0.66674,0.00339
26,117.0,26.0,0.14066,0.0668,0.72372,0.00479
27,117.0,27.0,0.13499,0.05449,0.59149,0.03464
28,117.0,28.0,0.12404,0.03173,0.05495,0.10616
29,117.0,29.0,0.15887,0.03058,0.57755,0.0181
30,117.0,30.0,0.1761,0.053,0.31291,0.39084
1,118.0,1.0,0.05846,0.00681,0.96061,0.00206
2,118.0,2.0,0.01751,0.01111,0.1547,0.00462
3,118.0,3.0,0.05152,0.03033,0.57088,0.38989
4,118.0,4.0,0.08286,0.00212,0.76402,0.00385
5,118.0,5.0,0.04245,0.00198,0.28477,0.20266
6,118.0,6.0,0.06238,0.01206,0.27123,0.02873
7,118.0,7.0,0.10224,0.00794,0.77258,0.30098
8,118.0,8.0,0.08031,0.03014,0.69608,0.00283
9,118.0,9.0,0.05726,0.04909,0.92228,0.01056
10,118.0,10.0,0.03826,0.01729,0.85043,0.23253
11,118.0,11.0,0.10865,0.0368,0.76777,0.29638
12,118.0,12.0,0.00916,0.00742,0.0762,0.01234
13,118.0,13.0,0.03117,0.02454,0.74082,0.01723
14,118.0,14.0,0.05201,0.01256,0.10768,0.00248
15,118.0,15.0,0.05096,0.00889,0.38972,0.01002
16,118.0,16.0,0.10287,0.01083,0.26755,0.00764
17,118.0,17.0,0.068,0.03032,0.24138,0.0555
18,118.0,18.0,0.06562,0.01181,0.63256,0.05454
19,118.0,19.0,0.09061,0.03676,0.66457,0.44788
20,118.0,20.0,0.13335,0.04063,0.37496,0.46087
21,118.0,21.0,0.15357,0.03755,0.27926,0.04907
22,118.0,22.0,0.1477,0.04979,0.15739,0.0775
23,118.0,23.0,0.18899,0.05598,0.43365,0.06976
24,118.0,24.0,0.15437,0.05258,0.91778,0.00839
25,118.0,25.0,0.18147,0.02074,0.4969,0.00553
26,118.0,26.0,0.12786,0.07561,0.47371,0.01293
27,118.0,27.0,0.14454,0.04827,0.40528,0.05051
28,118.0,28.0,0.16362,0.03305,0.05346,0.16266
29,118.0,29.0,0.16592,0.06106,0.75455,0.00771
30,118.0,30.0,0.17479,0.04267,0.21689,0.1965
1,119.0,1.0,0.06416,0.0234,0.65539,0.06619
2,119.0,2.0,0.00735,0.00619,0.81592,0.03462
3,119.0,3.0,0.03767,0.01219,0.25851,0.00604
4,119.0,4.0,0.0088,0.00239,0.54876,0.13042
5,119.0,5.0,0.01377,0.00243,0.41187,0.18432
6,119.0,6.0,0.08364,0.01637,0.59355,0.2072
7,119.0,7.0,0.06729,0.01368,0.74991,0.00381
8,119.0,8.0,0.03846,0.01816,0.00828,0.02651
9,119.0,9.0,0.0685,0.01492,0.84122,0.0067
10,119.0,10.0,0.06166,0.00144,0.58684,0.03646
11,119.0,11.0,0.0307,0.0299,0.93916,0.11134
12,119.0,12.0,0.12078,0.04096,0.8987,0.06817
13,119.0,13.0,0.10248,0.03967,0.23632,0.26915
14,119.0,14.0,0.08283,0.0127,0.93172,0.09143
15,119.0,15.0,0.13072,0.04519,0.81998,0.00217
16,119.0,16.0,0.1411,0.03574,0.33538,0.20157
17,119.0,17.0,0.11645,0.02138,0.89935,0.46822
18,119.0,18.0,0.08246,0.03986,0.1554,0.00504
19,119.0,19.0,0.16098,0.02378,0.21462,0.20497
20,119.0,20.0,0.15271,0.03962,0.95246,0.09396
21,119.0,21.0,0.1066,0.0354,0.75685,0.2092
22,119.0,22.0,0.13627,0.00048,0.1278,0.19391
23,119.0,23.0,0.13289,0.03244,0.19111,0.01435
24,119.0,24.0,0.12245,0.04922,0.73271,0.04813
25,119.0,25.0,0.14171,0.05252,0.78087,0.00592
26,119.0,26.0,0.11967,0.03413,0.68749,0.11219
27,119.0,27.0,0.11663,0.02278,0.7964,0.04294
28,119.0,28.0,0.17289,0.06133,0.76682,0.03332
29,119.0,29.0,0.13585,0.01225,0.4675,0.00591
30,119.0,30.0,0.19795,0.05551,0.32974,0.04784
1,120.0,1.0,0.05772,0.01806,0.2214,0.47069
2,120.0,2.0,0.10382,0.02854,0.01325,0.25717
3,120.0,3.0,0.05602,0.02522,0.65205,0.0057
4,120.0,4.0,0.04312,0.01025,0.82273,0.02088
5,120.0,5.0,0.09783,0.02488,0.60267,0.00845
6,120.0,6.0,0.08498,0.00639,0.97814,0.14315
7,120.0,7.0,0.10424,0.02207,0.70243,0.00477
8,120.0,8.0,0.0635,0.02486,0.90226,0.05591
9,120.0,9.0,0.10552,0.028,0.38305,0.00279
10,120.0,10.0,0.07289,0.0217,0.2028,0.27125
11,120.0,11.0,0.04654,0.02902,0.45842,0.00992
12,120.0,12.0,0.10303,0.0266,0.08042,0.03882
13,120.0,13.0,0.04763,0.03162,0.8953,0.01295
14,120.0,14.0,0.1179,0.0228,0.44967,0.05032
15,120.0,15.0,0.09339,0.00462,0.50002,0.4464
16,120.0,16.0,0.11768,0.03879,0.07031,0.04044
17,120.0,17.0,0.07544,0.03371,0.59954,0.07439
18,120.0,18.0,0.14385,0.01294,0.6332,0.00247
19,120.0,19.0,0.15224,0.02675,0.55274,0.14615
20,120.0,20.0,0.13602,0.03544,0.07675,0.27982
21,120.0,21.0,0.10986,0.01543,0.7584,0.0057
22,120.0,22.0,0.13694,0.00904,0.36765,0.02863
23,120.0,23.0,0.13853,0.05706,0.70444,0.0026
24,120.0,24.0,0.12728,0.03789,0.97885,0.26436
25,120.0,25.0,0.10399,0.01463,0.70051,0.14042
26,120.0,26.0,0.11368,0.02611,0.20856,0.03446
27,120.0,27.0,0.15626,0.04762,0.30589,0.03824
28,120.0,28.0,0.24094,0.0625,0.6022,0.00731
29,120.0,29.0,0.1367,0.06466,0.4124,0.01256
30,120.0,30.0,0.16638,0.05674,0.4881,0.01109
1,121.0,1.0,0.04863,0.02569,0.00486,0.15949
2,121.0,2.0,0.03267,0.00341,0.8868,0.4707
3,121.0,3.0,0.02921,0.01726,0.96995,0.01678
4,121.0,4.0,0.09664,0.022,0.05859,0.19216
5,121.0,5.0,0.11247,0.0462,0.60293,0.19779
6,121.0,6.0,0.06099,0.02571,0.17298,0.12191
7,121.0,7.0,0.05704,0.02074,0.36152,0.01024
8,121.0,8.0,0.04799,0.02526,0.26174,0.00354
9,121.0,9.0,0.10577,0.00423,0.3375,0.01908
10,121.0,10.0,0.0742,0.02231,0.79276,0.49865
11,121.0,11.0,0.0646,0.00429,0.06446,0.00864
12,121.0,12.0,0.10626,0.02239,0.2745,0.18195
13,121.0,13.0,0.08963,0.02251,0.23594,0.00313
14,121.0,14.0,0.05252,0.00949,0.09751,0.453
15,121.0,15.0,0.09729,0.04325,0.08656,0.47723
16,121.0,16.0,0.17412,0.05135,0.21569,0.11864
17,121.0,17.0,0.08631,0.01842,0.53334,0.00372
18,121.0,18.0,0.12081,0.05439,0.15428,0.00434
19,121.0,19.0,0.13274,0.0234,0.18937,0.06648
20,121.0,20.0,0.11527,0.00301,0.84726,0.11559
21,121.0,21.0,0.14014,0.00516,0.54521,0.01378
22,121.0,22.0,0.12062,0.03121,0.29181,0.0032
23,121.0,23.0,0.14209,0.06709,0.85606,0.00258
24,121.0,24.0,0.15805,0.01647,0.22619,0.0907
25,121.0,25.0,0.09949,0.04374,0.44062,0.24695
26,121.0,26.0,0.1126,0.05778,0.70168,0.00557
27,121.0,27.0,0.11812,0.03891,0.81762,0.00395
28,121.0,28.0,0.17234,0.06554,0.87603,0.00825
29,121.0,29.0,0.11698,0.04493,0.67439,0.00201
30,121.0,30.0,0.17249,0.05192,0.85765,0.27225
1,122.0,1.0,0.05132,0.0167,0.23282,0.01155
2,122.0,2.0,0.08794,0.02218,0.07818,0.0023
3,122.0,3.0,0.03239,0.02053,0.69196,0.03026
4,122.0,4.0,0.05042,0.0023,0.26262,0.00924
5,122.0,5.0,0.03215,0.02813,0.51655,0.281
6,122.0,6.0,0.05759,0.02082,0.98128,0.01368
7,122.0,7.0,0.02702,0.02169,0.58941,0.03257
8,122.0,8.0,0.04677,0.01447,0.71533,0.01834
9,122.0,9.0,0.11862,0.01241,0.12358,0.03324
10,122.0,10.0,0.06621,0.02644,0.18764,0.10636
11,122.0,11.0,0.04357,0.02985,0.46918,0.00322
12,122.0,12.0,0.06565,0.0478,0.36918,0.00487
13,122.0,13.0,0.09238,0.03719,0.52887,0.02843
14,122.0,14.0,0.07908,0.01614,0.61044,0.02218
15,122.0,15.0,0.06659,0.02093,0.47893,0.01058
16,122.0,16.0,0.10597,0.03735,0.18587,0.00311
17,122.0,17.0,0.0834,0.02949,0.80778,0.20284
18,122.0,18.0,0.05145,0.04826,0.56348,0.45815
19,122.0,19.0,0.11761,0.03777,0.42607,0.09649
20,122.0,20.0,0.11057,0.05271,0.04236,0.00292
21,122.0,21.0,0.13721,0.04221,0.4464,0.01707
22,122.0,22.0,0.08423,0.06071,0.30271,0.19083
23,122.0,23.0,0.12062,0.06026,0.75323,0.04786
24,122.0,24.0,0.1281,0.06631,0.91024,0.00337
25,122.0,25.0,0.11936,0.04335,0.08725,0.02557
26,122.0,26.0,0.14986,0.0329,0.45097,0.2413
27,122.0,27.0,0.163,0.03837,0.58059,0.01808
28,122.0,28.0,0.18306,0.03668,0.09384,0.08921
29,122.0,29.0,0.16429,0.02775,0.87501,0.00322
30,122.0,30.0,0.16201,0.03925,0.41206,0.01198
1,123.0,1.0,0.05518,0.00467,0.35446,0.02869
2,123.0,2.0,0.05746,0.01091,0.57776,0.02408
3,123.0,3.0,0.03834,0.01417,0.59885,0.00448
4,123.0,4.0,0.08179,0.02969,0.58439,0.03725
5,123.0,5.0,0.07654,0.00038,0.53309,0.0047
6,123.0,6.0,0.04662,0.01574,0.95957,0.00504
7,123.0,7.0,0.06843,0.02653,0.78925,0.18579
8,123.0,8.0,0.05497,0.02821,0.68714,0.23103
9,123.0,9.0,0.00915,0.00837,0.87285,0.00819
10,123.0,10.0,0.02886,0.01889,0.42945,0.02145
11,123.0,11.0,0.11892,0.00827,0.38597,0.05498
12,123.0,12.0,0.09333,0.01881,0.1793,0.01424
13,123.0,13.0,0.07812,0.01936,0.76139,0.08679
14,123.0,14.0,0.08976,0.0224,0.44772,0.00371
15,123.0,15.0,0.0441,0.02689,0.1035,0.40387
16,123.0,16.0,0.08601,0.02648,0.3794,0.12175
17,123.0,17.0,0.09926,0.04993,0.64151,0.03147
18,123.0,18.0,0.13873,0.0371,0.28101,0.04962
19,123.0,19.0,0.05858,0.05409,0.71959,0.04882
20,123.0,20.0,0.12047,0.02149,0.01734,0.06263
21,123.0,21.0,0.07859,0.03911,0.07133,0.00848
22,123.0,22.0,0.13798,0.04674,0.18741,0.05611
23,123.0,23.0,0.0704,0.03519,0.25081,0.15805
24,123.0,24.0,0.14712,0.04393,0.1889,0.14092
25,123.0,25.0,0.13736,0.02276,0.37947,0.21858
26,123.0,26.0,0.17244,0.03073,0.74162,0.01653
27,123.0,27.0,0.16464,0.03257,0.91901,0.00801
28,123.0,28.0,0.16306,0.05052,0.30078,0.29111
29,123.0,29.0,0.09209,0.05872,0.87663,0.32784
30,123.0,30.0,0.16311,0.0522,0.26982,0.18502
1,124.0,1.0,0.01908,0.0043,0.47376,0.07836
2,124.0,2.0,0.02249,0.01114,0.70992,0.07244
3,124.0,3.0,0.02407,0.02288,0.02717,0.07387
4,124.0,4.0,0.02158,0.0129,0.38075,0.33833
5,124.0,5.0,0.07125,0.01229,0.82986,0.14031
6,124.0,6.0,0.06686,0.00158,0.41003,0.00563
7,124.0,7.0,0.03284,0.02384,0.38159,0.13576
8,124.0,8.0,0.05183,0.0186,0.49502,0.0737
9,124.0,9.0,0.06394,0.0121,0.24935,0.02211
10,124.0,10.0,0.08086,0.0443,0.00723,0.00807
11,124.0,11.0,0.15741,0.03835,0.92675,0.04979
12,124.0,12.0,0.10887,0.02809,0.47866,0.00878
13,124.0,13.0,0.07292,0.00669,0.65481,0.13208
14,124.0,14.0,0.12199,0.04051,0.1265,0.02285
15,124.0,15.0,0.15568,0.04656,0.06741,0.02737
16,124.0,16.0,0.13758,0.01466,0.3366,0.07696
17,124.0,17.0,0.07391,0.0469,0.48611,0.01515
18,124.0,18.0,0.16441,0.04639,0.79047,0.22138
19,124.0,19.0,0.07838,0.02398,0.66623,0.01017
20,124.0,20.0,0.14597,0.0265,0.84922,0.12617
21,124.0,21.0,0.16034,0.03045,0.73795,0.04856
22,124.0,22.0,0.09561,0.02771,0.82802,0.43412
23,124.0,23.0,0.19162,0.0457,0.19206,0.03546
24,124.0,24.0,0.11409,0.04741,0.05409,0.01072
25,124.0,25.0,0.16602,0.05056,0.55282,0.0037
26,124.0,26.0,0.17355,0.04432,0.02419,0.01325
27,124.0,27.0,0.13524,0.03944,0.48059,0.00206
28,124.0,28.0,0.11894,0.02931,0.23092,0.23818
29,124.0,29.0,0.1947,0.04801,0.85021,0.32808
30,124.0,30.0,0.1535,0.06077,0.56006,0.00391
1,125.0,1.0,0.02151,0.01644,0.25986,0.08457
2,125.0,2.0,0.05245,0.01214,0.58442,0.12136
3,125.0,3.0,0.03879,0.00332,0.47333,0.00232
4,125.0,4.0,0.05358,0.02326,0.96479,0.01056
5,125.0,5.0,0.07663,0.01848,0.03881,0.01003
6,125.0,6.0,0.03886,0.0066,0.86875,0.0091
7,125.0,7.0,0.05576,0.02104,0.55562,0.00804
8,125.0,8.0,0.04256,0.01529,0.86308,0.02803
9,125.0,9.0,0.04125,0.02198,0.03979,0.28753
10,125.0,10.0,0.07188,0.05351,0.92522,0.02075
11,125.0,11.0,0.08284,0.02333,0.33134,0.00772
12,125.0,12.0,0.07714,0.01921,0.41282,0.19302
13,125.0,13.0,0.04919,0.01442,0.18542,0.11791
14,125.0,14.0,0.07699,0.00579,0.4916,0.00428
15,125.0,15.0,0.07121,0.02932,0.71035,0.00445
16,125.0,16.0,0.13548,0.06795,0.16935,0.00802
17,125.0,17.0,0.10374,0.02527,0.99283,0.00204
18,125.0,18.0,0.09963,0.04394,0.44778,0.04511
19,125.0,19.0,0.12746,0.04016,0.66055,0.4638
20,125.0,20.0,0.16188,0.04315,0.33238,0.07291
21,125.0,21.0,0.07723,0.02891,0.85317,0.00944
22,125.0,22.0,0.16426,0.0391,0.07683,0.05421
23,125.0,23.0,0.09587,0.04472,0.48232,0.00611
24,125.0,24.0,0.12451,0.03703,0.79441,0.0135
25,125.0,25.0,0.16064,0.0467,0.79935,0.01767
26,125.0,26.0,0.19281,0.03767,0.80205,0.13694
27,125.0,27.0,0.1987,0.04706,0.03442,0.0074
28,125.0,28.0,0.24253,0.02305,0.14005,0.02983
29,125.0,29.0,0.16803,0.06203,0.32968,0.01946
30,125.0,30.0,0.20285,0.03633,0.80939,0.40726
1,1.0,1.0,0.0323,0.00074,0.19023,0.13516
2,1.0,2.0,0.04026,0.01877,0.14232,0.14236
3,1.0,3.0,0.01901,0.01434,0.69435,0.05971
4,1.0,4.0,0.02654,0.01514,0.21962,0.08054
5,1.0,5.0,0.06353,0.01766,0.89215,0.06733
6,1.0,6.0,0.03735,0.0034,0.99155,0.03147
7,1.0,7.0,0.06271,0.01697,0.23974,0.08442
8,1.0,8.0,0.063,0.00045,0.83118,0.15461
9,1.0,9.0,0.05118,0.01049,0.56709,0.01383
10,1.0,10.0,0.05539,0.03782,0.468,0.00215
11,1.0,11.0,0.08512,0.01849,0.78829,0.03883
12,1.0,12.0,0.06999,0.00501,0.37524,0.29677
13,1.0,13.0,0.12938,0.0127,0.72015,0.03306
14,1.0,14.0,0.14821,0.0455,0.47293,0.01865
15,1.0,15.0,0.09793,0.03671,0.12684,0.00563
16,1.0,16.0,0.08773,0.03589,0.10383,0.09165
17,1.0,17.0,0.11663,0.00808,0.95456,0.05839
18,1.0,18.0,0.10485,0.03953,0.49184,0.0316
19,1.0,19.0,0.10232,0.01987,0.71978,0.00307
20,1.0,20.0,0.1001,0.04048,0.55405,0.00424
21,1.0,21.0,0.12966,0.02603,0.07678,0.02019
22,1.0,22.0,0.12427,0.0345,0.7372,0.11927
23,1.0,23.0,0.08009,0.0397,0.7316,0.03091
24,1.0,24.0,0.12214,0.05735,0.90487,0.01164
25,1.0,25.0,0.14166,0.02387,0.35564,0.00573
26,1.0,26.0,0.15524,0.03926,0.91957,0.01471
27,1.0,27.0,0.19535,0.0504,0.61528,0.00649
28,1.0,28.0,0.13225,0.03048,0.26676,0.00383
29,1.0,29.0,0.19219,0.04965,0.28313,0.00784
30,1.0,30.0,0.17035,0.04813,0.73646,0.17141
1,2.0,1.0,0.10603,0.00729,0.42794,0.05031
2,2.0,2.0,0.03168,0.02943,0.65416,0.02657
3,2.0,3.0,0.03076,0.01444,0.99984,0.00695
4,2.0,4.0,0.03502,0.01155,0.1953,0.15161
5,2.0,5.0,0.06265,0.01784,0.48698,0.1647
6,2.0,6.0,0.0586,0.01888,0.85372,0.37204
7,2.0,7.0,0.06687,0.02862,0.16923,0.0058
8,2.0,8.0,0.07997,0.01796,0.60348,0.00449
9,2.0,9.0,0.05294,0.00984,0.83637,0.1601
10,2.0,10.0,0.06376,0.04093,0.34187,0.0886
11,2.0,11.0,0.0649,0.02181,0.89576,0.01084
12,2.0,12.0,0.09663,0.03806,0.73336,0.35857
13,2.0,13.0,0.06161,0.037,0.23376,0.02377
14,2.0,14.0,0.05393,0.04045,0.56018,0.04277
15,2.0,15.0,0.09704,0.02611,0.21655,0.01396
16,2.0,16.0,0.07808,0.01589,0.11087,0.37531
17,2.0,17.0,0.10388,0.02427,0.13188,0.19633
18,2.0,18.0,0.0956,0.02462,0.33635,0.03288
19,2.0,19.0,0.14453,0.02319,0.80521,0.27385
20,2.0,20.0,0.11099,0.02856,0.92873,0.29775
21,2.0,21.0,0.16108,0.01476,0.83903,0.0081
22,2.0,22.0,0.12522,0.02584,0.52062,0.00518
23,2.0,23.0,0.09126,0.01664,0.9081,0.05374
24,2.0,24.0,0.08855,0.01617,0.49943,0.00206
25,2.0,25.0,0.11339,0.03979,0.9334,0.00633
26,2.0,26.0,0.21641,0.02947,0.38699,0.07102
27,2.0,27.0,0.18196,0.05796,0.97545,0.04086
28,2.0,28.0,0.19258,0.04695,0.24278,0.06291
29,2.0,29.0,0.10019,0.06595,0.2856,0.03445
30,2.0,30.0,0.18938,0.05671,0.19666,0.03044
1,3.0,1.0,0.0547,0.00764,0.84232,0.1688
2,3.0,2.0,0.02917,0.01303,0.22439,0.48451
3,3.0,3.0,0.07341,0.02135,0.46991,0.0856
4,3.0,4.0,0.0047,0.00303,0.8644,0.26428
5,3.0,5.0,0.02748,0.01871,0.45519,0.09555
6,3.0,6.0,0.08455,0.00536,0.14801,0.0584
7,3.0,7.0,0.10086,0.02675,0.66153,0.00993
8,3.0,8.0,0.10601,0.01142,0.42656,0.00392
9,3.0,9.0,0.03547,0.02111,0.11122,0.00229
10,3.0,10.0,0.06824,0.03182,0.04177,0.00751
11,3.0,11.0,0.05734,0.01641,0.70899,0.00225
12,3.0,12.0,0.03966,0.02283,0.97605,0.05129
13,3.0,13.0,0.02301,0.0189,0.50185,0.00447
14,3.0,14.0,0.093,0.03627,0.31633,0.20435
15,3.0,15.0,0.05134,0.02151,0.29398,0.05404
16,3.0,16.0,0.10803,0.01505,0.66924,0.06367
17,3.0,17.0,0.0479,0.03993,0.68079,0.17507
18,3.0,18.0,0.06592,0.06439,0.06017,0.11689
19,3.0,19.0,0.15439,0.03179,0.83664,0.0307
20,3.0,20.0,0.10495,0.01654,0.16648,0.00567
21,3.0,21.0,0.06515,0.06274,0.34805,0.24279
22,3.0,22.0,0.10527,0.01562,0.98487,0.45158
23,3.0,23.0,0.13788,0.04468,0.34849,0.17159
24,3.0,24.0,0.12515,0.03803,0.16525,0.00471
25,3.0,25.0,0.11822,0.01878,0.35348,0.24721
26,3.0,26.0,0.12997,0.04785,0.55757,0.30507
27,3.0,27.0,0.13104,0.06148,0.245,0.045
28,3.0,28.0,0.05196,0.02852,0.99729,0.03755
29,3.0,29.0,0.13379,0.06715,0.51668,0.41545
30,3.0,30.0,0.17838,0.05592,0.94652,0.16019
1,4.0,1.0,0.01579,0.00392,0.9108,0.0105
2,4.0,2.0,0.02395,0.00442,0.40918,0.11806
3,4.0,3.0,0.06713,0.01023,0.60231,0.05272
4,4.0,4.0,0.01763,0.00862,0.0421,0.02714
5,4.0,5.0,0.03415,0.02609,0.62299,0.25237
6,4.0,6.0,0.05189,0.01583,0.06811,0.02302
7,4.0,7.0,0.08723,0.0105,0.39969,0.09355
8,4.0,8.0,0.02471,0.00474,0.7384,0.08458
9,4.0,9.0,0.05392,0.03098,0.68102,0.03608
10,4.0,10.0,0.06797,0.00845,0.93827,0.02739
11,4.0,11.0,0.03585,0.02544,0.7308,0.00513
12,4.0,12.0,0.10532,0.02925,0.79125,0.00649
13,4.0,13.0,0.12953,0.00825,0.24561,0.10139
14,4.0,14.0,0.09378,0.03626,0.76023,0.36512
15,4.0,15.0,0.07484,0.01611,0.45682,0.0965
16,4.0,16.0,0.09148,0.02438,0.33167,0.07004
17,4.0,17.0,0.10579,0.01955,0.71972,0.00503
18,4.0,18.0,0.08258,0.04126,0.83169,0.00782
19,4.0,19.0,0.07506,0.03695,0.56184,0.00696
20,4.0,20.0,0.095,0.03913,0.00402,0.00219
21,4.0,21.0,0.11058,0.04666,0.7722,0.03053
22,4.0,22.0,0.12548,0.0482,0.73033,0.01792
23,4.0,23.0,0.18263,0.0757,0.98786,0.00649
24,4.0,24.0,0.14229,0.04027,0.93151,0.08334
25,4.0,25.0,0.11555,0.05715,0.18029,0.02922
26,4.0,26.0,0.13561,0.04316,0.24311,0.00547
27,4.0,27.0,0.16514,0.09014,0.64975,0.00225
28,4.0,28.0,0.18035,0.04121,0.95103,0.02337
29,4.0,29.0,0.19967,0.0403,0.98024,0.02084
30,4.0,30.0,0.16098,0.0532,0.43047,0.00461
1,5.0,1.0,0.01284,0.01157,0.79239,0.00244
2,5.0,2.0,0.02664,0.00844,0.81027,0.19515
3,5.0,3.0,0.02263,0.00049,0.8318,0.05062
4,5.0,4.0,0.0464,0.00417,0.42609,0.0703
5,5.0,5.0,0.0655,0.01636,0.3301,0.0026
6,5.0,6.0,0.02888,0.00027,0.42248,0.40823
7,5.0,7.0,0.0555,0.01421,0.11299,0.03885
8,5.0,8.0,0.03223,0.02093,0.5549,0.00339
9,5.0,9.0,0.13114,0.01019,0.93723,0.02129
10,5.0,10.0,0.04301,0.01617,0.85557,0.14734
11,5.0,11.0,0.0538,0.02057,0.90471,0.01341
12,5.0,12.0,0.01636,0.01166,0.5765,0.01467
13,5.0,13.0,0.0703,0.01402,0.87766,0.00534
14,5.0,14.0,0.11346,0.03301,0.84498,0.0157
15,5.0,15.0,0.12199,0.0022,0.00271,0.08445
16,5.0,16.0,0.06995,0.024,0.37311,0.02241
17,5.0,17.0,0.10847,0.00463,0.46627,0.00487
18,5.0,18.0,0.15125,0.02324,0.85254,0.04433
19,5.0,19.0,0.10875,0.04064,0.04212,0.00491
20,5.0,20.0,0.1341,0.03321,0.31121,0.07471
21,5.0,21.0,0.16794,0.06143,0.9145,0.20904
22,5.0,22.0,0.09816,0.02574,0.46785,0.02591
23,5.0,23.0,0.12589,0.03322,0.54029,0.41417
24,5.0,24.0,0.11254,0.03146,0.47647,0.01364
25,5.0,25.0,0.12031,0.03477,0.16703,0.02533
26,5.0,26.0,0.11716,0.05215,0.61894,0.09055
27,5.0,27.0,0.11989,0.0378,0.64116,0.00264
28,5.0,28.0,0.16355,0.03524,0.29019,0.1406
29,5.0,29.0,0.14871,0.04717,0.49866,0.00234
30,5.0,30.0,0.16344,0.04776,0.31868,0.05716
1,6.0,1.0,0.08203,0.01588,0.07764,0.15471
2,6.0,2.0,0.0164,0.01418,0.57016,0.30176
3,6.0,3.0,0.05521,0.0172,0.76844,0.04547
4,6.0,4.0,0.04611,0.00176,0.9612,0.39976
5,6.0,5.0,0.08231,0.01694,0.50571,0.02147
6,6.0,6.0,0.02379,0.01759,0.33385,0.03002
7,6.0,7.0,0.05638,0.01599,0.42668,0.01248
8,6.0,8.0,0.02733,0.00203,0.69118,0.12183
9,6.0,9.0,0.03096,0.00542,0.13757,0.01495
10,6.0,10.0,0.06816,0.01916,0.79611,0.00511
11,6.0,11.0,0.05063,0.01943,0.39562,0.03018
12,6.0,12.0,0.04973,0.02301,0.26932,0.01769
13,6.0,13.0,0.10861,0.02693,0.64626,0.01051
14,6.0,14.0,0.07494,0.04061,0.72597,0.00372
