,n_com,I,C,M,R,L
7,147.0,7.0,0.08381,0.05827,0.99897,0.31392
8,147.0,8.0,0.08686,0.03891,0.28741,0.33771
9,147.0,9.0,0.19096,0.04008,0.04949,0.01692
10,147.0,10.0,0.20654,0.01649,0.15811,0.00985
1,148.0,1.0,0.03449,0.02241,0.44632,0.23088
2,148.0,2.0,0.0576,0.02241,0.11081,0.24514
3,148.0,3.0,0.07823,0.02841,0.51437,0.0844
4,148.0,4.0,0.0855,0.0299,0.8605,0.00258
5,148.0,5.0,0.08425,0.03616,0.74815,0.00354
6,148.0,6.0,0.09112,0.04035,0.98926,0.45392
7,148.0,7.0,0.14837,0.05117,0.4984,0.11333
8,148.0,8.0,0.07452,0.04387,0.80587,0.02819
9,148.0,9.0,0.17157,0.03746,0.55028,0.04204
10,148.0,10.0,0.22999,0.03418,0.30573,0.28587
1,149.0,1.0,0.0138,0.00086,0.39493,0.00503
2,149.0,2.0,0.0408,0.0192,0.18361,0.002
3,149.0,3.0,0.0726,0.02745,0.43425,0.01335
4,149.0,4.0,0.12344,0.03606,0.74582,0.23901
5,149.0,5.0,0.08168,0.01958,0.47616,0.00514
6,149.0,6.0,0.13367,0.04185,0.48119,0.06795
7,149.0,7.0,0.09464,0.03208,0.40311,0.25187
8,149.0,8.0,0.13625,0.04695,0.45729,0.03708
9,149.0,9.0,0.18027,0.05761,0.65167,0.04239
10,149.0,10.0,0.1743,0.00847,0.40297,0.01275
1,150.0,1.0,0.0266,0.00996,0.434,0.0355
2,150.0,2.0,0.08039,0.01777,0.36726,0.00731
3,150.0,3.0,0.06075,0.0273,0.49722,0.05851
4,150.0,4.0,0.07022,0.00607,0.70808,0.10548
5,150.0,5.0,0.12349,0.0326,0.02543,0.00704
6,150.0,6.0,0.06195,0.01074,0.87873,0.01444
7,150.0,7.0,0.06986,0.0236,0.25475,0.0764
8,150.0,8.0,0.13164,0.03128,0.22783,0.0066
9,150.0,9.0,0.13167,0.0153,0.55023,0.10825
10,150.0,10.0,0.18138,0.05294,0.52522,0.01218
1,151.0,1.0,0.07561,0.00863,0.10129,0.01085
2,151.0,2.0,0.03565,0.00388,0.34948,0.00538
3,151.0,3.0,0.06795,0.01847,0.75577,0.0038
4,151.0,4.0,0.04218,0.03425,0.73322,0.38994
5,151.0,5.0,0.0722,0.02019,0.15204,0.00988
6,151.0,6.0,0.10021,0.03473,0.2367,0.00229
7,151.0,7.0,0.07384,0.06427,0.74766,0.00238
8,151.0,8.0,0.1457,0.04504,0.26391,0.17802
9,151.0,9.0,0.16141,0.05069,0.97654,0.00218
10,151.0,10.0,0.10967,0.04562,0.62377,0.10721
1,152.0,1.0,0.06547,0.00111,0.16099,0.09308
2,152.0,2.0,0.04368,0.00312,0.24388,0.00412
3,152.0,3.0,0.01697,0.01277,0.22801,0.02195
4,152.0,4.0,0.06664,0.05104,0.85702,0.00629
5,152.0,5.0,0.1051,0.03177,0.09374,0.01882
6,152.0,6.0,0.12924,0.04274,0.75606,0.09401
7,152.0,7.0,0.14947,0.01857,0.49653,0.05277
8,152.0,8.0,0.1695,0.03552,0.87886,0.0047
9,152.0,9.0,0.18833,0.0595,0.24582,0.07697
10,152.0,10.0,0.14246,0.04447,0.56371,0.00839
1,153.0,1.0,0.03386,0.02458,0.18267,0.03183
2,153.0,2.0,0.02225,0.01351,0.83435,0.09393
3,153.0,3.0,0.01376,0.00649,0.74783,0.18298
4,153.0,4.0,0.09602,0.00381,0.0371,0.01924
5,153.0,5.0,0.13281,0.00418,0.92442,0.0119
6,153.0,6.0,0.07648,0.03273,0.16402,0.0033
7,153.0,7.0,0.12603,0.04318,0.94631,0.42248
8,153.0,8.0,0.11653,0.02558,0.21729,0.09514
9,153.0,9.0,0.12934,0.03101,0.66082,0.00362
10,153.0,10.0,0.11328,0.04775,0.18074,0.00427
1,154.0,1.0,0.02327,0.00557,0.46768,0.00816
2,154.0,2.0,0.04697,0.02378,0.08446,0.0631
3,154.0,3.0,0.05469,0.01134,0.7313,0.00659
4,154.0,4.0,0.09935,0.03541,0.02427,0.01859
5,154.0,5.0,0.04671,0.02623,0.13071,0.41314
6,154.0,6.0,0.04398,0.036,0.05152,0.09639
7,154.0,7.0,0.09319,0.02455,0.82304,0.03993
8,154.0,8.0,0.16527,0.02038,0.35357,0.02478
9,154.0,9.0,0.21581,0.04562,0.98346,0.06716
10,154.0,10.0,0.15699,0.05993,0.85007,0.00203
1,155.0,1.0,0.04743,0.00636,0.77218,0.0952
2,155.0,2.0,0.01023,0.00402,0.2064,0.06086
3,155.0,3.0,0.07298,0.04255,0.03443,0.00591
4,155.0,4.0,0.03594,0.0275,0.14042,0.0112
5,155.0,5.0,0.07221,0.02269,0.61534,0.12818
6,155.0,6.0,0.04698,0.02401,0.41209,0.00514
7,155.0,7.0,0.12759,0.03204,0.07292,0.04145
8,155.0,8.0,0.13647,0.03968,0.66542,0.00469
9,155.0,9.0,0.11196,0.05116,0.82614,0.04832
10,155.0,10.0,0.18015,0.03263,0.88526,0.01051
1,156.0,1.0,0.03193,0.00235,0.68231,0.00254
2,156.0,2.0,0.03044,0.02007,0.79565,0.04049
3,156.0,3.0,0.04131,0.02147,0.35277,0.35708
4,156.0,4.0,0.0299,0.0147,0.9843,0.01875
5,156.0,5.0,0.05026,0.04157,0.93313,0.00316
6,156.0,6.0,0.02877,0.01452,0.87512,0.01071
7,156.0,7.0,0.16192,0.0356,0.22801,0.00258
8,156.0,8.0,0.12291,0.04446,0.53027,0.0039
9,156.0,9.0,0.12603,0.06223,0.76149,0.14845
10,156.0,10.0,0.20491,0.07306,0.34059,0.13761
1,157.0,1.0,0.02733,0.00651,0.78168,0.01617
2,157.0,2.0,0.0703,0.04607,0.24061,0.00219
3,157.0,3.0,0.03187,0.03051,0.44945,0.01934
4,157.0,4.0,0.03122,0.02653,0.84991,0.00537
5,157.0,5.0,0.10001,0.03776,0.34415,0.28775
6,157.0,6.0,0.10096,0.04701,0.79338,0.01343
7,157.0,7.0,0.12223,0.04994,0.34522,0.01184
8,157.0,8.0,0.09707,0.0451,0.06126,0.03733
9,157.0,9.0,0.16765,0.02043,0.7929,0.0075
10,157.0,10.0,0.16551,0.03933,0.5069,0.24076
1,158.0,1.0,0.02564,0.00548,0.11207,0.00939
2,158.0,2.0,0.02644,0.00241,0.83552,0.34065
3,158.0,3.0,0.10132,0.03165,0.72175,0.00613
4,158.0,4.0,0.07017,0.02804,0.72306,0.07122
5,158.0,5.0,0.10472,0.04972,0.83787,0.00357
6,158.0,6.0,0.07196,0.05939,0.4642,0.02396
7,158.0,7.0,0.11373,0.04539,0.94288,0.00254
8,158.0,8.0,0.09895,0.03425,0.34705,0.00329
9,158.0,9.0,0.18475,0.03485,0.09553,0.06954
10,158.0,10.0,0.16079,0.04807,0.32901,0.01365
1,159.0,1.0,0.01715,0.00845,0.44534,0.38143
2,159.0,2.0,0.07803,0.01575,0.94413,0.47401
3,159.0,3.0,0.05379,0.01949,0.51424,0.01704
4,159.0,4.0,0.07644,0.01956,0.61738,0.00489
5,159.0,5.0,0.04962,0.0267,0.32858,0.00753
6,159.0,6.0,0.08855,0.04143,0.519,0.49946
7,159.0,7.0,0.11044,0.03109,0.97838,0.00962
8,159.0,8.0,0.07175,0.04856,0.32814,0.0439
9,159.0,9.0,0.11227,0.06513,0.42442,0.04715
10,159.0,10.0,0.214,0.06107,0.2882,0.02633
1,160.0,1.0,0.0226,0.00535,0.88913,0.00361
2,160.0,2.0,0.04426,0.00561,0.25864,0.15333
3,160.0,3.0,0.04225,0.02092,0.54421,0.2886
4,160.0,4.0,0.13424,0.01684,0.28288,0.0207
5,160.0,5.0,0.07774,0.02647,0.57847,0.01773
6,160.0,6.0,0.08927,0.0481,0.65984,0.00765
7,160.0,7.0,0.14156,0.03306,0.59614,0.40154
8,160.0,8.0,0.13926,0.06044,0.9812,0.01473
9,160.0,9.0,0.13801,0.05452,0.53196,0.14703
10,160.0,10.0,0.1797,0.02496,0.46106,0.03393
1,161.0,1.0,0.07861,0.00824,0.83431,0.01546
2,161.0,2.0,0.01304,0.00367,0.27662,0.39223
3,161.0,3.0,0.09515,0.0022,0.68999,0.0355
4,161.0,4.0,0.11467,0.05443,0.57867,0.02595
5,161.0,5.0,0.05492,0.02044,0.77515,0.11479
6,161.0,6.0,0.07687,0.00469,0.69275,0.03147
7,161.0,7.0,0.12297,0.04096,0.36013,0.05443
8,161.0,8.0,0.14547,0.03514,0.44572,0.08392
9,161.0,9.0,0.11792,0.04057,0.77686,0.04948
10,161.0,10.0,0.1566,0.06668,0.49629,0.009
1,162.0,1.0,0.00771,0.00034,0.63901,0.00206
2,162.0,2.0,0.03117,0.00271,0.44277,0.00215
3,162.0,3.0,0.02112,0.00034,0.83572,0.01259
4,162.0,4.0,0.03004,0.0081,0.72787,0.01769
5,162.0,5.0,0.07824,0.06903,0.84395,0.01332
6,162.0,6.0,0.13005,0.0654,0.12257,0.00736
7,162.0,7.0,0.11654,0.02975,0.72369,0.00849
8,162.0,8.0,0.14578,0.0529,0.87102,0.00966
9,162.0,9.0,0.13049,0.02744,0.03748,0.00305
10,162.0,10.0,0.17342,0.03564,0.91816,0.26286
1,163.0,1.0,0.04006,0.01361,0.98586,0.00387
2,163.0,2.0,0.03193,0.02199,0.4098,0.09226
3,163.0,3.0,0.06361,0.0264,0.93307,0.01742
4,163.0,4.0,0.03924,0.02761,0.50747,0.09143
5,163.0,5.0,0.05389,0.02853,0.2337,0.01708
6,163.0,6.0,0.06681,0.0259,0.52376,0.00334
7,163.0,7.0,0.08374,0.02209,0.27194,0.00834
8,163.0,8.0,0.0926,0.02794,0.11978,0.02807
9,163.0,9.0,0.15177,0.06758,0.11431,0.0241
10,163.0,10.0,0.13479,0.05805,0.80858,0.03386
1,164.0,1.0,0.02046,0.01917,0.41399,0.31575
2,164.0,2.0,0.02435,0.02339,0.00873,0.00465
3,164.0,3.0,0.0979,0.03305,0.24658,0.12163
4,164.0,4.0,0.0561,0.00119,0.2563,0.0103
5,164.0,5.0,0.13434,0.03151,0.75841,0.08898
6,164.0,6.0,0.12601,0.03276,0.75486,0.00906
7,164.0,7.0,0.0764,0.01763,0.24636,0.00819
8,164.0,8.0,0.16958,0.03516,0.98655,0.06016
9,164.0,9.0,0.17679,0.04215,0.46624,0.17464
10,164.0,10.0,0.16248,0.03996,0.75475,0.01258
1,165.0,1.0,0.03626,0.0203,0.38357,0.18569
2,165.0,2.0,0.06968,0.01192,0.12519,0.13482
3,165.0,3.0,0.01226,0.00789,0.36033,0.32133
4,165.0,4.0,0.10964,0.03571,0.10685,0.12961
5,165.0,5.0,0.04365,0.02772,0.46812,0.00992
6,165.0,6.0,0.11204,0.0476,0.29398,0.00691
7,165.0,7.0,0.11617,0.05164,0.8178,0.00432
8,165.0,8.0,0.08278,0.03385,0.5689,0.00207
9,165.0,9.0,0.13512,0.04591,0.65335,0.46091
10,165.0,10.0,0.19412,0.04059,0.07655,0.00678
1,166.0,1.0,0.05897,0.04172,0.2481,0.00307
2,166.0,2.0,0.06032,0.02404,0.54656,0.32647
3,166.0,3.0,0.08239,0.03587,0.24715,0.00302
4,166.0,4.0,0.09338,0.01588,0.83245,0.34732
5,166.0,5.0,0.12898,0.03424,0.93907,0.01257
6,166.0,6.0,0.1332,0.00881,0.80257,0.01384
7,166.0,7.0,0.12291,0.03709,0.40196,0.01263
8,166.0,8.0,0.10451,0.06043,0.42291,0.07443
9,166.0,9.0,0.10065,0.02903,0.46428,0.00863
10,166.0,10.0,0.20438,0.0506,0.25772,0.00283
1,167.0,1.0,0.0844,0.03421,0.23276,0.00203
2,167.0,2.0,0.08767,0.01028,0.16057,0.01895
3,167.0,3.0,0.06396,0.03504,0.87295,0.19295
4,167.0,4.0,0.09257,0.03565,0.60334,0.20312
5,167.0,5.0,0.12017,0.01588,0.10232,0.05946
6,167.0,6.0,0.12608,0.04872,0.35834,0.05648
7,167.0,7.0,0.09639,0.02876,0.8638,0.01903
8,167.0,8.0,0.13304,0.03266,0.85555,0.03832
9,167.0,9.0,0.21678,0.04696,0.98891,0.01467
10,167.0,10.0,0.11771,0.05375,0.00299,0.19994
1,168.0,1.0,0.08308,0.02117,0.87812,0.01989
2,168.0,2.0,0.05344,0.00587,0.22017,0.01616
3,168.0,3.0,0.0375,0.0043,0.27999,0.3094
4,168.0,4.0,0.05773,0.02096,0.56353,0.17582
5,168.0,5.0,0.05406,0.02741,0.40133,0.00479
6,168.0,6.0,0.03723,0.03216,0.29359,0.00372
7,168.0,7.0,0.06637,0.02717,0.44622,0.25273
8,168.0,8.0,0.07427,0.01386,0.61857,0.00609
9,168.0,9.0,0.07631,0.0128,0.78032,0.03563
10,168.0,10.0,0.16828,0.03672,0.65033,0.00307
1,169.0,1.0,0.08317,0.0066,0.55619,0.03561
2,169.0,2.0,0.10321,0.01671,0.47443,0.1833
3,169.0,3.0,0.02052,0.00815,0.04838,0.00969
4,169.0,4.0,0.04781,0.02711,0.73371,0.00215
5,169.0,5.0,0.05284,0.0094,0.28218,0.0598
6,169.0,6.0,0.04552,0.03667,0.03996,0.34507
7,169.0,7.0,0.08826,0.0569,0.56866,0.00783
8,169.0,8.0,0.10699,0.05814,0.49934,0.00427
9,169.0,9.0,0.12196,0.06132,0.51014,0.1039
10,169.0,10.0,0.17127,0.07001,0.82367,0.0248
1,170.0,1.0,0.00295,0.00146,0.02486,0.00388
2,170.0,2.0,0.06421,0.0142,0.38757,0.01175
3,170.0,3.0,0.05424,0.01947,0.64594,0.10353
4,170.0,4.0,0.08024,0.01253,0.85822,0.12082
5,170.0,5.0,0.1366,0.0364,0.0795,0.08171
6,170.0,6.0,0.12658,0.03254,0.30842,0.21489
7,170.0,7.0,0.1035,0.03974,0.71726,0.08081
8,170.0,8.0,0.16656,0.00684,0.3946,0.01354
9,170.0,9.0,0.14608,0.05914,0.51067,0.01415
10,170.0,10.0,0.19117,0.01055,0.34041,0.1243
1,171.0,1.0,0.01485,0.00114,0.26529,0.04782
2,171.0,2.0,0.05414,0.01445,0.95724,0.06434
3,171.0,3.0,0.03679,0.02689,0.16895,0.01417
4,171.0,4.0,0.16655,0.02572,0.43659,0.20466
5,171.0,5.0,0.12224,0.02081,0.34161,0.09046
6,171.0,6.0,0.10499,0.03881,0.12668,0.00235
7,171.0,7.0,0.12476,0.00408,0.90276,0.02504
8,171.0,8.0,0.08304,0.06027,0.53254,0.0109
9,171.0,9.0,0.20418,0.05169,0.17785,0.00279
10,171.0,10.0,0.12279,0.04815,0.17335,0.07555
1,172.0,1.0,0.02785,0.02375,0.44017,0.13716
2,172.0,2.0,0.04993,0.01851,0.51858,0.02991
3,172.0,3.0,0.02376,7e-05,0.63526,0.09969
4,172.0,4.0,0.00913,0.00179,0.09956,0.00728
5,172.0,5.0,0.04956,0.03375,0.82375,0.23705
6,172.0,6.0,0.12106,0.00609,0.96364,0.00463
7,172.0,7.0,0.127,0.02147,0.55432,0.00713
8,172.0,8.0,0.19552,0.05907,0.83004,0.01952
9,172.0,9.0,0.1305,0.03687,0.15586,0.03381
10,172.0,10.0,0.15109,0.05284,0.52391,0.00531
1,173.0,1.0,0.03604,0.01897,0.3589,0.03257
2,173.0,2.0,0.08781,0.00191,0.7261,0.11123
3,173.0,3.0,0.05817,0.04092,0.51255,0.00651
4,173.0,4.0,0.08886,0.03289,0.81673,0.25538
5,173.0,5.0,0.12139,0.04266,0.5448,0.01384
6,173.0,6.0,0.15621,0.03581,0.73938,0.00219
7,173.0,7.0,0.10349,0.04407,0.18287,0.00225
8,173.0,8.0,0.13411,0.06082,0.77401,0.17424
9,173.0,9.0,0.18372,0.0412,0.55451,0.00326
10,173.0,10.0,0.1801,0.05953,0.4655,0.0041
1,174.0,1.0,0.03652,0.0005,0.00734,0.43413
2,174.0,2.0,0.01541,0.01452,0.73033,0.03329
3,174.0,3.0,0.06135,0.01034,0.57894,0.01241
4,174.0,4.0,0.04502,0.02225,0.7412,0.00413
5,174.0,5.0,0.06174,0.00019,0.43527,0.08489
6,174.0,6.0,0.09859,0.04838,0.98005,0.13105
7,174.0,7.0,0.07151,0.01666,0.86713,0.0865
8,174.0,8.0,0.11101,0.03875,0.5651,0.21865
9,174.0,9.0,0.13477,0.05395,0.05681,0.49042
10,174.0,10.0,0.12725,0.04733,0.81023,0.00236
1,175.0,1.0,0.03768,0.00706,0.5906,0.13122
2,175.0,2.0,0.05596,0.01078,0.81869,0.00551
3,175.0,3.0,0.05094,0.02378,0.52736,0.19314
4,175.0,4.0,0.05826,0.0229,0.77402,0.38679
5,175.0,5.0,0.08767,0.00947,0.89648,0.04152
6,175.0,6.0,0.09231,0.02503,0.61935,0.18525
7,175.0,7.0,0.1097,0.00986,0.59283,0.05228
8,175.0,8.0,0.17474,0.04179,0.0134,0.1021
9,175.0,9.0,0.12298,0.03555,0.61352,0.22255
10,175.0,10.0,0.13007,0.05562,0.19276,0.00641
1,176.0,1.0,0.0399,0.02073,0.19551,0.0574
2,176.0,2.0,0.03812,0.00053,0.86469,0.0299
3,176.0,3.0,0.0612,0.02499,0.65872,0.36028
4,176.0,4.0,0.13372,0.00612,0.23311,0.18317
5,176.0,5.0,0.06781,0.00982,0.9466,0.01976
6,176.0,6.0,0.11892,0.04947,0.82296,0.2324
7,176.0,7.0,0.11447,0.03292,0.93843,0.00247
8,176.0,8.0,0.11864,0.0651,0.03176,0.00574
9,176.0,9.0,0.20298,0.04453,0.92411,0.00611
10,176.0,10.0,0.1414,0.0198,0.51532,0.03833
1,177.0,1.0,0.06306,0.01653,0.26217,0.32978
2,177.0,2.0,0.04851,0.01312,0.16365,0.00614
3,177.0,3.0,0.04141,0.03631,0.33722,0.00352
4,177.0,4.0,0.06657,0.02374,0.40074,0.35216
5,177.0,5.0,0.03774,0.0252,0.60327,0.0099
6,177.0,6.0,0.05528,0.04423,0.3878,0.17392
7,177.0,7.0,0.13609,0.02011,0.83461,0.10061
8,177.0,8.0,0.11573,0.04832,0.93416,0.01184
9,177.0,9.0,0.14074,0.0477,0.7037,0.0117
10,177.0,10.0,0.17253,0.06344,0.82157,0.00355
1,178.0,1.0,0.01963,0.00222,0.50174,0.00485
2,178.0,2.0,0.0716,0.03462,0.2176,0.25289
3,178.0,3.0,0.02283,0.01316,0.36059,0.00362
4,178.0,4.0,0.05023,0.00315,0.36968,0.04117
5,178.0,5.0,0.05654,0.04522,0.10872,0.0119
6,178.0,6.0,0.06441,0.03081,0.35475,0.10034
7,178.0,7.0,0.12339,0.01477,0.92337,0.00218
8,178.0,8.0,0.12887,0.03682,0.36961,0.22612
9,178.0,9.0,0.1286,0.03914,0.88971,0.05004
10,178.0,10.0,0.11689,0.06391,0.58259,0.09168
1,179.0,1.0,0.03306,0.01783,0.07028,0.0026
2,179.0,2.0,0.02263,0.01154,0.43006,0.01166
3,179.0,3.0,0.06917,0.01328,0.51104,0.00715
4,179.0,4.0,0.10999,0.01847,0.53184,0.02563
5,179.0,5.0,0.04589,0.01977,0.61222,0.12271
6,179.0,6.0,0.14218,0.01664,0.72822,0.33086
7,179.0,7.0,0.17604,0.03779,0.60056,0.21071
8,179.0,8.0,0.14812,0.04444,0.00584,0.39917
9,179.0,9.0,0.1129,0.03452,0.66786,0.00224
10,179.0,10.0,0.14518,0.04752,0.27163,0.19607
1,180.0,1.0,0.11486,0.0221,0.4891,0.0223
2,180.0,2.0,0.03379,0.01798,0.14878,0.01782
3,180.0,3.0,0.0216,0.01971,0.57741,0.37582
4,180.0,4.0,0.03685,0.00432,0.19287,0.00612
5,180.0,5.0,0.12232,0.01442,0.09896,0.00861
6,180.0,6.0,0.10915,0.0492,0.55339,0.12606
7,180.0,7.0,0.12908,0.01127,0.93782,0.01876
8,180.0,8.0,0.17744,0.0371,0.78252,0.12516
9,180.0,9.0,0.15143,0.07441,0.06859,0.00581
10,180.0,10.0,0.15373,0.04154,0.5244,0.42667
1,181.0,1.0,0.00757,0.00399,0.9255,0.02251
2,181.0,2.0,0.05885,0.00444,0.5564,0.01814
3,181.0,3.0,0.05571,0.01571,0.88045,0.0098
4,181.0,4.0,0.08467,0.00473,0.45666,0.0029
5,181.0,5.0,0.10421,0.01006,0.45053,0.00597
6,181.0,6.0,0.1052,0.02713,0.13941,0.05196
7,181.0,7.0,0.05333,0.03315,0.18184,0.01003
8,181.0,8.0,0.11,0.04013,0.07029,0.01558
9,181.0,9.0,0.15234,0.03134,0.06044,0.21151
10,181.0,10.0,0.17126,0.08465,0.58236,0.04176
1,182.0,1.0,0.02743,0.02097,0.89459,0.00469
2,182.0,2.0,0.00949,0.00679,0.31626,0.04163
3,182.0,3.0,0.11189,0.00964,0.03455,0.04107
4,182.0,4.0,0.06155,0.02772,0.12538,0.06068
5,182.0,5.0,0.05662,0.03153,0.78603,0.00438
6,182.0,6.0,0.09704,0.04996,0.52993,0.03203
7,182.0,7.0,0.11198,0.00305,0.24024,0.0207
8,182.0,8.0,0.07211,0.04332,0.78074,0.0073
9,182.0,9.0,0.11705,0.03608,0.23289,0.01383
10,182.0,10.0,0.21677,0.08873,0.04917,0.00911
1,183.0,1.0,0.00827,0.00694,0.55272,0.12834
2,183.0,2.0,0.0812,0.02334,0.44215,0.00723
3,183.0,3.0,0.07294,0.00599,0.03869,0.04642
4,183.0,4.0,0.03367,0.02873,0.50394,0.00247
5,183.0,5.0,0.07077,0.0156,0.42818,0.01662
6,183.0,6.0,0.0667,0.02397,0.79212,0.01425
7,183.0,7.0,0.134,0.02622,0.83305,0.29559
8,183.0,8.0,0.13484,0.0349,0.59131,0.10984
9,183.0,9.0,0.15964,0.05721,0.526,0.00758
10,183.0,10.0,0.1368,0.03898,0.02927,0.13118
1,184.0,1.0,0.01859,0.00354,0.55181,0.12397
2,184.0,2.0,0.11893,0.00529,0.86873,0.0358
3,184.0,3.0,0.053,0.00631,0.65732,0.17103
4,184.0,4.0,0.06399,0.0108,0.72095,0.02136
5,184.0,5.0,0.12548,0.02578,0.95955,0.02972
6,184.0,6.0,0.13797,0.02878,0.1123,0.01764
7,184.0,7.0,0.15368,0.04027,0.97685,0.01002
8,184.0,8.0,0.13807,0.04503,0.30745,0.00924
9,184.0,9.0,0.14795,0.0303,0.98762,0.17429
10,184.0,10.0,0.15751,0.04656,0.86388,0.39346
1,185.0,1.0,0.03352,0.0131,0.10123,0.00934
2,185.0,2.0,0.05199,0.00906,0.20801,0.00239
3,185.0,3.0,0.06495,0.01324,0.04201,0.01134
4,185.0,4.0,0.05391,0.01695,0.05678,0.16338
5,185.0,5.0,0.10268,0.02856,0.84484,0.0799
6,185.0,6.0,0.14903,0.00166,0.86934,0.04437
7,185.0,7.0,0.10043,0.01653,0.83674,0.38726
8,185.0,8.0,0.17703,0.06395,0.0501,0.01899
9,185.0,9.0,0.15216,0.04817,0.22404,0.20373
10,185.0,10.0,0.1948,0.06355,0.91653,0.38099
1,186.0,1.0,0.04484,0.01999,0.26847,0.028
2,186.0,2.0,0.05271,0.00681,0.76443,0.00797
3,186.0,3.0,0.1087,0.00875,0.86533,0.16336
4,186.0,4.0,0.07125,0.01314,0.44273,0.03675
5,186.0,5.0,0.08653,0.05023,0.83435,0.00356
6,186.0,6.0,0.06217,0.02112,0.08209,0.39644
7,186.0,7.0,0.12902,0.01585,0.72669,0.01292
8,186.0,8.0,0.20094,0.03703,0.19802,0.08151
9,186.0,9.0,0.12722,0.04152,0.27184,0.00484
10,186.0,10.0,0.18853,0.05027,0.95928,0.00233
1,187.0,1.0,0.05353,0.00317,0.19398,0.06061
2,187.0,2.0,0.05708,0.02333,0.77043,0.0064
3,187.0,3.0,0.01789,0.01483,0.61495,0.02826
4,187.0,4.0,0.10715,0.04774,0.52775,0.04017
5,187.0,5.0,0.0548,0.03247,0.41858,0.13338
6,187.0,6.0,0.17731,0.03604,0.83606,0.14037
7,187.0,7.0,0.13161,0.03423,0.44265,0.02514
8,187.0,8.0,0.1501,0.04458,0.16868,0.04729
9,187.0,9.0,0.16451,0.0601,0.85175,0.00221
10,187.0,10.0,0.21571,0.04595,0.4066,0.01367
1,188.0,1.0,0.06342,0.01473,0.54732,0.12348
2,188.0,2.0,0.04196,0.00227,0.55862,0.00647
3,188.0,3.0,0.0462,0.02121,0.29147,0.08828
4,188.0,4.0,0.13953,0.02657,0.5048,0.0537
5,188.0,5.0,0.09615,0.03795,0.68059,0.03528
6,188.0,6.0,0.03299,0.01701,0.32583,0.15275
7,188.0,7.0,0.09206,0.04553,0.02693,0.0067
8,188.0,8.0,0.10612,0.04685,0.55769,0.00853
9,188.0,9.0,0.13074,0.02825,0.63434,0.19284
10,188.0,10.0,0.16776,0.03641,0.16808,0.11546
1,189.0,1.0,0.02864,0.0215,0.75152,0.31169
2,189.0,2.0,0.05117,0.01209,0.26959,0.0053
3,189.0,3.0,0.05795,0.01051,0.09853,0.00874
4,189.0,4.0,0.06493,0.0281,0.48789,0.00718
5,189.0,5.0,0.11168,0.00763,0.75983,0.00923
6,189.0,6.0,0.093,0.0499,0.67423,0.07139
7,189.0,7.0,0.1306,0.0582,0.76819,0.02293
8,189.0,8.0,0.15387,0.03947,0.2301,0.46867
9,189.0,9.0,0.103,0.03438,0.09268,0.00583
10,189.0,10.0,0.18987,0.05985,0.46159,0.0521
1,190.0,1.0,0.04418,0.02039,0.6601,0.08749
2,190.0,2.0,0.02667,0.01858,0.11681,0.12557
3,190.0,3.0,0.06224,0.01439,0.63037,0.00774
4,190.0,4.0,0.07796,0.00012,0.19829,0.01196
5,190.0,5.0,0.10701,0.00942,0.85938,0.0388
6,190.0,6.0,0.15218,0.00823,0.65522,0.00833
7,190.0,7.0,0.0659,0.03449,0.92561,0.14313
8,190.0,8.0,0.17045,0.06079,0.59107,0.03907
9,190.0,9.0,0.19089,0.05365,0.30078,0.00309
10,190.0,10.0,0.12406,0.04087,0.03677,0.00445
1,191.0,1.0,0.03395,0.00497,0.33812,0.00272
2,191.0,2.0,0.05489,0.03745,0.79811,0.00711
3,191.0,3.0,0.0811,0.0418,0.86294,0.00549
4,191.0,4.0,0.04276,0.03191,0.36848,0.00966
5,191.0,5.0,0.08486,0.02223,0.18067,0.0087
6,191.0,6.0,0.10439,0.01577,0.74492,0.01754
7,191.0,7.0,0.10894,0.02439,0.43872,0.00733
8,191.0,8.0,0.1472,0.03506,0.26617,0.13839
9,191.0,9.0,0.1695,0.03107,0.41217,0.11466
10,191.0,10.0,0.16589,0.06374,0.66758,0.01465
1,192.0,1.0,0.07188,0.03261,0.42562,0.00336
2,192.0,2.0,0.03256,0.01381,0.91273,0.48913
3,192.0,3.0,0.08488,0.00555,0.56611,0.00672
4,192.0,4.0,0.07862,0.0149,0.96644,0.02166
5,192.0,5.0,0.08065,0.03881,0.68253,0.07787
6,192.0,6.0,0.11272,0.02438,0.33095,0.30792
7,192.0,7.0,0.13777,0.0358,0.94153,0.0048
8,192.0,8.0,0.14619,0.03322,0.51086,0.01719
9,192.0,9.0,0.16114,0.05321,0.94961,0.15237
10,192.0,10.0,0.08874,0.05697,0.42422,0.00698
1,193.0,1.0,0.02221,0.00518,0.90142,0.20771
2,193.0,2.0,0.09448,0.01937,0.10226,0.00333
3,193.0,3.0,0.04233,0.00475,0.81273,0.05211
4,193.0,4.0,0.10703,0.01127,0.74085,0.00502
5,193.0,5.0,0.07438,0.03302,0.02327,0.01558
6,193.0,6.0,0.09954,0.02383,0.75031,0.00591
7,193.0,7.0,0.11677,0.04565,0.41119,0.10312
8,193.0,8.0,0.18784,0.05402,0.8871,0.00261
9,193.0,9.0,0.2016,0.04141,0.79239,0.02848
10,193.0,10.0,0.21858,0.04025,0.16098,0.1952
1,194.0,1.0,0.03437,0.02117,0.23044,0.00808
2,194.0,2.0,0.05925,0.00873,0.91657,0.1241
